season,week,home_id,away_id,home_score,away_score,home_turnovers,away_turnovers,home_win
2015,10,4,34,6,10,2,1,0
2015,11,30,10,19,13,2,1,1
2015,11,1,11,21,24,4,3,0
2015,11,3,7,15,17,2,0,0
2015,11,8,13,18,13,0,0,1
2015,11,15,6,14,24,1,2,0
2015,11,21,27,17,45,4,1,0
2015,11,29,28,44,16,0,5,1
2015,11,33,14,16,13,2,4,1
2015,11,34,20,24,17,1,2,1
2015,11,24,12,3,33,2,0,0
2015,11,16,9,13,30,1,0,0
2015,11,26,25,29,13,0,0,1
2015,11,22,4,34,31,2,1,1
2015,11,17,2,20,13,1,1,1
2015,12,8,21,45,14,0,1,1
2015,12,6,29,14,33,3,0,0
2015,12,9,3,13,17,2,0,0
2015,12,1,16,10,20,3,1,0
2015,12,4,14,31,7,1,3,1
2015,12,10,13,21,24,2,2,0
2015,12,11,27,25,12,0,1,1
2015,12,12,2,30,22,0,2,1
2015,12,20,15,38,20,0,2,1
2015,12,28,19,20,14,0,3,1
2015,12,30,24,25,31,1,0,0
2015,12,34,18,24,6,1,1,1
2015,12,25,22,13,19,2,0,0
2015,12,26,23,39,30,0,4,1
2015,12,7,17,30,24,1,1,1
2015,12,5,33,27,33,0,2,0
2015,13,8,9,23,27,1,1,0
2015,13,2,34,30,21,0,1,1
2015,13,3,25,20,26,1,0,0
2015,13,5,4,3,37,2,0,0
2015,13,10,30,42,39,2,1,1
2015,13,14,22,3,27,1,0,0
2015,13,15,33,15,13,1,2,1
2015,13,16,26,7,38,1,1,0
2015,13,19,20,20,23,1,1,0
2015,13,27,1,23,19,2,1,1
2015,13,13,12,20,34,3,2,0
2015,13,24,7,3,17,3,1,0
2015,13,17,21,28,35,2,1,0
2015,13,18,29,38,41,1,3,0
2015,13,23,11,45,10,2,3,1
2015,13,28,6,16,19,1,3,0
2015,14,22,16,23,20,0,3,1
2015,14,3,28,21,24,1,1,0
2015,14,4,23,20,33,3,1,0
2015,14,5,25,24,10,2,0,1
2015,14,12,24,10,3,2,1,1
2015,14,14,8,21,14,1,1,1
2015,14,20,10,30,8,0,1,1
2015,14,21,2,23,20,1,2,1
2015,14,27,18,17,24,0,0,0
2015,14,29,1,38,0,0,4,1
2015,14,30,11,51,16,2,2,1
2015,14,33,26,6,35,2,1,0
2015,14,7,13,12,15,2,0,0
2015,14,9,6,28,7,0,1,1
2015,14,34,17,6,27,1,1,0
2015,14,15,19,24,31,1,1,0
2015,15,14,27,31,23,0,2,1
2015,15,6,20,16,19,4,1,0
2015,15,11,34,10,16,2,2,0
2015,15,16,3,38,17,0,2,1
2015,15,17,10,33,16,1,3,1
2015,15,19,29,35,38,2,1,0
2015,15,28,2,35,25,1,0,1
2015,15,30,1,17,23,1,1,0
2015,15,33,12,14,34,3,0,0
2015,15,13,9,20,30,2,2,0
2015,15,26,5,30,13,0,1,1
2015,15,23,7,34,27,2,2,1
2015,15,24,15,30,14,2,1,1
2015,15,25,4,14,24,4,1,0
2015,15,21,22,17,40,4,0,0
2015,15,18,8,27,35,0,1,0
2015,16,13,24,23,20,1,1,1
2015,16,21,28,24,38,2,0,0
2015,16,1,29,20,13,1,1,1
2015,16,2,6,16,6,2,2,1
2015,16,8,25,32,17,0,1,1
2015,16,10,34,6,34,4,1,0
2015,16,12,5,17,13,1,1,1
2015,16,15,11,12,18,1,0,0
2015,16,20,17,26,20,1,1,1
2015,16,27,3,21,26,3,0,0
2015,16,33,23,20,17,0,3,1
2015,16,18,30,38,27,0,2,1
2015,16,22,9,38,8,2,4,1
2015,16,26,14,17,23,3,0,0
2015,16,16,19,49,17,0,3,1
2015,16,7,4,20,17,1,1,1
2015,17,1,18,17,20,2,1,0
2015,17,2,20,22,17,1,3,1
2015,17,3,8,20,24,3,0,0
2015,17,4,33,24,16,0,2,1
2015,17,5,23,12,28,4,3,0
2015,17,6,28,23,34,4,0,0
2015,17,11,10,30,24,1,1,1
2015,17,15,17,20,10,0,0,1
2015,17,19,21,30,35,1,2,0
2015,17,34,30,30,6,1,4,1
2015,17,7,24,27,20,5,1,1
2015,17,12,13,23,17,2,1,1
2015,17,22,26,6,36,3,0,0
2015,17,25,14,19,16,1,0,1
2015,17,29,27,38,10,2,3,1
2015,17,9,16,13,20,2,2,0
2016,1,7,29,21,20,3,1,1
2016,1,1,27,24,31,0,1,0
2016,1,10,16,16,25,3,0,0
2016,1,12,24,33,27,1,0,1
2016,1,18,13,34,35,1,0,0
2016,1,20,4,22,23,1,1,0
2016,1,21,5,29,10,0,1,1
2016,1,30,9,23,27,1,0,0
2016,1,33,2,13,7,1,0,1
2016,1,34,3,23,14,1,1,1
2016,1,26,15,12,10,2,0,1
2016,1,6,19,19,20,0,1,0
2016,1,11,8,35,39,0,0,0
2016,1,22,17,21,23,0,2,0
2016,1,28,23,16,38,2,1,0
2016,1,25,14,28,0,1,2,1
2016,2,2,20,31,37,1,1,0
2016,2,5,33,20,25,2,2,0
2016,2,8,10,15,16,1,1,0
2016,2,17,15,31,24,1,4,1
2016,2,19,18,16,13,3,0,1
2016,2,23,4,24,16,2,2,1
2016,2,28,6,23,27,1,1,0
2016,2,29,25,46,27,4,3,1
2016,2,34,12,19,12,2,3,1
2016,2,14,26,9,3,0,1,1
2016,2,22,27,40,7,0,5,1
2016,2,7,11,34,20,1,2,1
2016,2,13,1,28,35,0,1,0
2016,2,24,30,38,14,1,3,1
2016,2,16,9,17,14,1,3,1
2016,2,3,21,14,29,3,0,0
2016,3,17,34,27,0,0,3,1
2016,3,2,22,33,18,1,5,1
2016,3,4,7,17,29,2,1,0
2016,3,9,8,34,27,0,1,1
2016,3,10,13,10,17,3,1,0
2016,3,15,5,30,24,3,1,1
2016,3,19,28,27,29,3,1,0
2016,3,29,16,10,22,3,0,0
2016,3,30,33,17,19,3,3,0
2016,3,26,25,37,18,2,1,1
2016,3,27,14,32,37,2,2,0
